title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,Michael Puett,Introductory,Philosophy & Ethics,English,13,  £99.00  ,1.5
The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,"Gregory Curfman, MD-Catherine Finn, MSW, LCSW",Introductory,Medicine,English,10,  £99.00  ,1.5
The Medieval Icelandic Sagas,11176,Self-paced on your time,The University of Iceland,Hjalti Sn√¶r √Ügisson-Beth Rogers,Intermediate,Humanities,English,6,  £50.00  ,2.5
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Stephen Wang,Intermediate,Math,English,8,  £159.00  ,7
The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,Aaron Bernstein-Ashish Jha,Introductory,Environmental Studies,English,7,  £99.00  ,4
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Lieven Vandersypen-Menno Veldhorst-Koen Bertels-Leo Di Carlo,Intermediate,Physics,English,6,  £79.00  ,7
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Federica Saliola-Aart Kraay-Truman G. Packard-Shwetlena Sabarwal,Introductory,Economics & Finance,English,5,  £5.00  ,4
The Foundations of Happiness at Work,67073,Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Business & Management,English,4,  £199.00  ,2.5
The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Dennis J. Ceru,Introductory,Business & Management,English,6,  £149.00  ,5
The Divine Comedy: Dante's Journey to Freedom,12005,Self-paced on your time,Georgetown University,Frank Ambrosio-Francesco Ciabattoni-Jo Ann Moran Cruz-Eddie Maloney,Introductory,Humanities,English,8,  £49.00  ,9.5
The Data Science Method,7868,Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,7,  £39.00  ,5
The Conquest of Space: Space Exploration and Rocket Science,19926,Self-paced on your time,Universidad Carlos III de Madrid,Manuel Sanjurjo Rivo-Mario Merino-Eduardo Ahedo-Manuel Soler,Introductory,Engineering,English,7,  £129.00  ,3.5
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Self-paced on your time,Columbia University,Eric Foner-Tim Shenk-Columbia University Center for Teaching and Learning,Introductory,History,English,12,  £50.00  ,7
The Chemistry of Life,78704,Self-paced on your time,Kyoto University,Motonari Uesugi,Introductory,Biology & Life Sciences,English,13,  £49.00  ,2.5
The Business of Mining,20406,Self-paced on your time,Curtin University,Felix Chan-Steve Hall-Bryan Maybee-Dan Packey,Introductory,Business & Management,English,4,  £139.00  ,2.5
The Business of Aging in the Longevity Economy,0,Self-paced on your time,Georgetown University,"Pamela A. Saunders, Ph.D.-Andrew Carle-Sonya Barsness, M.S.-Tara McMulen, Ph.D., MPH",Introductory,Social Sciences,English,4,  £139.00  ,1.5
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Hirokazu Yoshikawa-Jack Shonkoff-Aisha Yousafzai-Catherine Tamis-LeMonda,Intermediate,Education & Teacher Training,English,8,  £49.00  ,3
The Architectural Imagination,406181,Self-paced on your time,Harvard University,Lisa Haber-Thomson-K. Michael Hays-Erika Naginski-Antoine Picon,Introductory,Architecture,English,10,  £99.00  ,4
The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Gregory Nagy-Leonard Muellner-Kevin McGrath-Keith DeStone,Introductory,Humanities,English,18,  £99.00  ,10
The Analytics Edge,129555,Instructor-led on a course schedule,Massachusetts Institute of Technology,Dimitris Bertsimas-Allison O'Hair-John Silberholz-Iain Dunning,Intermediate,Data Analysis & Statistics,English,13,  £199.00  ,12.5
Terrorism and Counterterrorism: An Introduction,14128,Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,3,  £49.00  ,9
Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Daniel Byman-Christine Fair-Bruce Hoffman-Paul Pillar,Introductory,Humanities,English,7,  £49.00  ,9
Teamwork & Collaboration,0,Self-paced on your time,Rochester Institute of Technology,David Neumann,Introductory,Communication,English,3,  £199.00  ,5
